Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,date_station_id,prev_day_precip
2007-05-22,1,87,55,71,46,58,0,6,425,1911,0.0,29.34,30.06,10.0,18,10.2,2007-05-22 00:00:001,0.0
2007-05-23,2,89,66,78,48,61,0,13,425,1912,0.0,29.47,30.1,10.9,18,11.2,2007-05-23 00:00:002,0.0
2007-05-23,1,89,60,75,49,61,0,10,425,1912,0.0,29.39,30.1,11.4,19,11.8,2007-05-23 00:00:001,0.0
2007-05-24,2,88,66,77,53,63,0,12,424,1913,0.0,29.47,30.1,13.8,20,15.2,2007-05-24 00:00:002,0.0
2007-05-24,1,88,63,76,54,63,0,11,424,1913,0.02,29.41,30.11,14.9,21,17.3,2007-05-24 00:00:001,0.0
2007-05-25,2,66,57,62,46,53,3,0,423,1914,0.09,29.57,30.23,4.5,5,8.2,2007-05-25 00:00:002,0.02
2007-05-25,1,70,56,63,44,53,2,0,423,1914,0.0,29.51,30.24,4.9,5,8.8,2007-05-25 00:00:001,0.0
2007-05-26,2,70,50,60,55,57,5,0,422,1915,0.28,29.42,30.1,2.5,15,7.8,2007-05-26 00:00:002,0.09
2007-05-26,1,65,49,57,55,56,8,0,422,1915,1.01,29.36,30.11,2.8,17,7.2,2007-05-26 00:00:001,0.0
2007-05-27,2,75,59,67,49,57,0,2,422,1916,0.08,29.41,30.05,8.2,24,9.2,2007-05-27 00:00:002,0.28
2007-05-27,1,75,57,66,47,56,0,1,422,1916,0.04,29.34,30.06,8.9,26,9.5,2007-05-27 00:00:001,1.01
2007-05-28,2,76,54,65,49,57,0,0,421,1916,0.0,29.49,30.14,4.7,8,5.2,2007-05-28 00:00:002,0.08
2007-05-28,1,79,50,65,47,56,0,0,421,1916,0.0,29.43,30.15,4.8,10,5.3,2007-05-28 00:00:001,0.04
2007-05-29,2,88,65,77,59,66,0,12,421,1917,0.0,29.44,30.09,5.8,16,7.4,2007-05-29 00:00:002,0.0
2007-05-29,1,88,60,74,58,65,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5,2007-05-29 00:00:001,0.0
2007-05-30,1,87,66,77,58,65,0,12,420,1918,0.0,29.31,30.04,10.3,19,10.6,2007-05-30 00:00:001,0.0
2007-05-30,2,89,70,80,57,66,0,15,420,1918,0.0,29.38,30.03,9.7,17,10.1,2007-05-30 00:00:002,0.0
2007-05-31,1,78,65,72,61,65,0,7,420,1919,0.01,29.28,30.0,9.3,19,9.9,2007-05-31 00:00:001,0.0
2007-05-31,2,80,68,74,61,66,0,9,420,1919,0.53,29.34,29.99,8.9,18,9.2,2007-05-31 00:00:002,0.0
2007-06-01,1,85,62,74,63,66,0,9,419,1920,0.19,29.19,29.91,4.2,17,6.4,2007-06-01 00:00:001,0.01
2007-06-01,2,86,67,77,63,67,0,12,419,1920,0.21,29.25,29.9,4.7,16,5.8,2007-06-01 00:00:002,0.53
2007-06-02,1,81,65,73,63,67,0,8,419,1920,0.04,29.03,29.77,6.5,22,7.4,2007-06-02 00:00:001,0.21
2007-06-02,2,81,68,75,62,67,0,10,419,1920,0.0,29.1,29.76,7.5,21,8.2,2007-06-02 00:00:002,0.19
2007-06-03,2,77,64,71,60,64,0,6,418,1921,0.32,28.87,29.54,4.9,24,7.2,2007-06-03 00:00:002,0.0
2007-06-03,1,78,62,70,60,63,0,5,418,1921,0.01,28.82,29.56,5.2,25,6.7,2007-06-03 00:00:001,0.04
2007-06-04,1,71,58,65,58,60,0,0,418,1922,0.39,28.82,29.52,7.8,31,9.7,2007-06-04 00:00:001,0.01
2007-06-04,2,72,56,64,57,60,1,0,418,1922,0.31,28.88,29.51,7.9,30,10.1,2007-06-04 00:00:002,0.32
2007-06-05,1,64,47,56,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6,2007-06-05 00:00:001,0.31
2007-06-05,2,63,51,57,47,52,8,0,417,1923,0.27,29.16,29.78,6.2,3,8.1,2007-06-05 00:00:002,0.39
2007-06-06,1,71,44,58,48,55,7,0,417,1923,0.01,29.07,29.81,10.8,17,11.4,2007-06-06 00:00:001,0.27
2007-06-06,2,73,48,61,47,55,4,0,417,1923,0.0,29.13,29.82,9.6,15,10.6,2007-06-06 00:00:002,0.42
2007-06-07,1,91,71,81,62,69,0,16,417,1924,0.0,28.84,29.55,22.7,20,23.1,2007-06-07 00:00:001,0.0
2007-06-07,2,92,71,82,61,68,0,17,417,1924,0.0,28.91,29.55,20.3,19,20.7,2007-06-07 00:00:002,0.01
2007-06-08,1,81,57,69,53,61,0,4,417,1925,0.0,29.18,29.85,10.9,28,13.8,2007-06-08 00:00:001,0.0
2007-06-08,2,81,63,72,54,62,0,7,417,1925,0.0,29.24,29.83,9.3,26,12.4,2007-06-08 00:00:002,0.0
2007-06-09,1,79,52,66,47,57,0,1,416,1925,0.0,29.36,30.07,0.3,33,5.0,2007-06-09 00:00:001,0.0
2007-06-09,2,79,57,68,49,58,0,3,416,1925,0.0,29.42,30.05,2.4,19,4.7,2007-06-09 00:00:002,0.0
2007-06-10,2,81,61,71,50,60,0,6,416,1926,0.0,29.39,30.04,4.6,16,5.8,2007-06-10 00:00:002,0.0
2007-06-10,1,81,55,68,51,59,0,3,416,1926,0.0,29.34,30.05,4.8,17,5.6,2007-06-10 00:00:001,0.0
2007-06-11,2,85,65,75,51,61,0,10,416,1926,0.0,29.47,30.09,6.6,9,8.4,2007-06-11 00:00:002,0.0
2007-06-11,1,86,58,72,52,61,0,7,416,1926,0.0,29.41,30.11,4.9,11,6.9,2007-06-11 00:00:001,0.0
2007-06-12,1,83,62,73,50,60,0,8,416,1927,0.0,29.44,30.16,8.3,5,8.8,2007-06-12 00:00:001,0.0
2007-06-12,2,82,66,74,51,61,0,9,416,1927,0.0,29.49,30.14,9.4,5,10.0,2007-06-12 00:00:002,0.0
2007-06-13,1,87,60,74,53,62,0,9,416,1927,0.0,29.36,30.09,7.2,5,8.6,2007-06-13 00:00:001,0.0
2007-06-13,2,86,68,77,53,62,0,12,416,1927,0.0,29.36,30.09,7.0,5,8.6,2007-06-13 00:00:002,0.0
2007-06-14,1,89,64,77,55,64,0,12,416,1928,0.0,29.3,30.02,5.6,5,6.8,2007-06-14 00:00:001,0.0
2007-06-14,2,89,68,79,54,63,0,14,416,1928,0.0,29.36,30.0,5.9,7,6.4,2007-06-14 00:00:002,0.0
2007-06-15,1,91,63,77,56,64,0,12,416,1928,0.0,29.28,29.99,4.1,6,4.9,2007-06-15 00:00:001,0.0
2007-06-15,2,89,67,78,56,65,0,13,416,1928,0.0,29.34,29.97,3.8,9,4.1,2007-06-15 00:00:002,0.0
2007-06-16,1,93,66,80,60,67,0,15,416,1929,0.0,29.26,29.97,4.8,28,5.8,2007-06-16 00:00:001,0.0
2007-06-16,2,92,68,80,61,68,0,15,416,1929,0.0,29.33,29.96,2.1,22,6.1,2007-06-16 00:00:002,0.0
2007-06-17,1,91,70,81,64,70,0,16,416,1929,0.0,29.23,29.95,2.8,11,6.3,2007-06-17 00:00:001,0.0
2007-06-17,2,91,71,81,65,70,0,16,416,1929,0.16,29.28,29.93,4.0,11,6.1,2007-06-17 00:00:002,0.0
2007-06-18,1,89,69,79,65,70,0,14,416,1929,0.28,29.12,29.84,14.0,20,15.1,2007-06-18 00:00:001,0.0
2007-06-18,2,89,73,81,65,70,0,16,416,1929,0.02,29.19,29.83,12.2,20,12.6,2007-06-18 00:00:002,0.16
2007-06-19,1,80,65,73,55,63,0,8,416,1930,0.58,29.26,29.95,10.7,28,11.4,2007-06-19 00:00:001,0.28
2007-06-19,2,81,65,73,55,63,0,8,416,1930,0.93,29.31,29.93,10.1,29,11.3,2007-06-19 00:00:002,0.02
2007-06-20,1,84,61,73,52,61,0,8,416,1930,0.0,29.39,30.1,7.8,27,8.8,2007-06-20 00:00:001,0.93
2007-06-20,2,85,62,74,50,61,0,9,416,1930,0.0,29.46,30.09,5.9,28,7.7,2007-06-20 00:00:002,0.58
2007-06-21,2,80,66,73,51,61,0,8,416,1930,0.0,29.41,30.06,3.7,2,9.6,2007-06-21 00:00:002,0.0
2007-06-21,1,77,61,69,51,60,0,4,416,1930,0.01,29.36,30.08,3.5,3,10.7,2007-06-21 00:00:001,0.0
2007-06-22,2,75,62,69,49,58,0,4,417,1931,0.0,29.39,30.05,6.5,7,8.1,2007-06-22 00:00:002,0.0
2007-06-22,1,76,61,69,50,58,0,4,417,1931,0.0,29.33,30.06,7.8,6,8.7,2007-06-22 00:00:001,0.01
2007-06-23,1,67,62,65,58,61,0,0,417,1931,0.05,29.23,29.96,7.6,12,9.0,2007-06-23 00:00:001,0.0
2007-06-23,2,68,61,65,60,62,0,0,417,1931,0.34,29.28,29.95,7.3,11,8.1,2007-06-23 00:00:002,0.0
2007-06-24,2,75,65,70,62,65,0,5,417,1931,0.0,29.33,29.96,5.6,10,6.0,2007-06-24 00:00:002,0.05
2007-06-24,1,77,63,70,62,65,0,5,417,1931,0.0,29.26,29.97,7.0,9,8.0,2007-06-24 00:00:001,0.34
2007-06-25,1,89,65,77,66,70,0,12,417,1931,0.0,29.38,30.07,3.9,14,6.8,2007-06-25 00:00:001,0.0
2007-06-25,2,86,67,77,67,70,0,12,417,1931,0.0,29.44,30.06,4.0,12,5.9,2007-06-25 00:00:002,0.0
2007-06-26,2,91,73,82,69,72,0,17,418,1931,0.0,29.45,30.09,7.3,21,8.1,2007-06-26 00:00:002,0.0
2007-06-26,1,92,70,81,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1,2007-06-26 00:00:001,0.0
2007-06-27,2,89,71,80,69,72,0,15,418,1931,0.35,29.36,30.0,7.9,24,8.5,2007-06-27 00:00:002,0.16
2007-06-27,1,91,71,81,70,72,0,16,418,1931,0.15,29.29,30.02,7.5,24,8.8,2007-06-27 00:00:001,0.0
2007-06-28,2,73,61,67,56,61,0,2,419,1931,0.0,29.43,30.07,12.2,2,13.3,2007-06-28 00:00:002,0.35
2007-06-28,1,74,58,66,55,60,0,1,419,1931,0.0,29.41,30.09,11.9,3,12.5,2007-06-28 00:00:001,0.15
2007-06-29,2,71,56,64,56,60,1,0,419,1931,0.0,29.47,30.11,7.4,2,8.2,2007-06-29 00:00:002,0.0
2007-06-29,1,70,56,63,55,59,2,0,419,1931,0.0,29.41,30.13,7.6,2,8.3,2007-06-29 00:00:001,0.0
2007-06-30,2,77,58,68,49,58,0,3,419,1931,0.0,29.46,30.11,5.1,4,6.2,2007-06-30 00:00:002,0.0
2007-06-30,1,79,54,67,46,56,0,2,419,1931,0.0,29.41,30.13,4.9,3,5.8,2007-06-30 00:00:001,0.0
2007-07-01,1,75,54,65,52,58,0,0,420,1931,0.0,29.51,30.23,8.6,4,8.6,2007-07-01 00:00:001,0.0
2007-07-01,2,76,61,69,51,59,0,4,420,1931,0.0,29.56,30.21,9.5,4,9.7,2007-07-01 00:00:002,0.0
2007-07-02,2,77,58,68,50,59,0,3,420,1931,0.0,29.55,30.21,7.4,12,8.5,2007-07-02 00:00:002,0.0
2007-07-02,1,79,53,66,50,58,0,1,420,1931,0.0,29.49,30.22,5.9,14,8.1,2007-07-02 00:00:001,0.0
2007-07-03,1,83,60,72,57,63,0,7,421,1931,0.4,29.31,30.06,6.7,21,7.3,2007-07-03 00:00:001,0.0
2007-07-03,2,83,63,73,56,63,0,8,421,1931,0.09,29.38,30.05,6.4,21,7.4,2007-07-03 00:00:002,0.0
2007-07-04,1,86,67,77,65,69,0,12,422,1930,0.16,29.18,29.9,4.6,27,8.2,2007-07-04 00:00:001,0.4
2007-07-04,2,84,67,76,65,69,0,11,422,1930,0.66,29.23,29.88,3.1,25,8.8,2007-07-04 00:00:002,0.09
2007-07-05,2,88,70,79,60,67,0,14,422,1930,0.0,29.29,29.92,4.3,33,6.9,2007-07-05 00:00:002,0.66
2007-07-05,1,89,71,80,60,67,0,15,422,1930,0.0,29.24,29.94,6.4,31,8.1,2007-07-05 00:00:001,0.16
2007-07-06,1,86,66,76,57,64,0,11,423,1930,0.0,29.32,30.03,3.2,5,5.5,2007-07-06 00:00:001,0.0
2007-07-06,2,84,68,76,57,65,0,11,423,1930,0.0,29.38,30.01,3.3,7,5.5,2007-07-06 00:00:002,0.0
2007-07-07,1,90,64,77,63,69,0,12,423,1930,0.0,29.18,29.91,8.4,22,8.6,2007-07-07 00:00:001,0.0
2007-07-07,2,88,68,78,62,68,0,13,423,1930,0.0,29.24,29.9,7.4,23,8.1,2007-07-07 00:00:002,0.0
2007-07-08,1,94,75,85,67,72,0,20,424,1929,0.0,29.05,29.77,12.9,24,13.1,2007-07-08 00:00:001,0.0
2007-07-08,2,93,75,84,67,72,0,19,424,1929,0.0,29.12,29.76,12.6,23,12.7,2007-07-08 00:00:002,0.0
2007-07-09,2,93,72,83,67,71,0,18,425,1929,0.24,29.16,29.79,4.8,23,8.8,2007-07-09 00:00:002,0.0
2007-07-09,1,94,70,82,66,70,0,17,425,1929,0.3,29.11,29.8,4.9,24,8.8,2007-07-09 00:00:001,0.0
2007-07-10,1,89,69,79,67,70,0,14,425,1929,0.43,29.06,29.77,8.6,23,10.5,2007-07-10 00:00:001,0.3
2007-07-10,2,89,70,80,67,71,0,15,425,1929,0.08,29.13,29.76,8.2,23,10.2,2007-07-10 00:00:002,0.24
2007-07-11,1,77,62,70,51,59,0,5,426,1928,0.0,29.23,29.93,8.8,30,10.9,2007-07-11 00:00:001,0.43
2007-07-11,2,77,63,70,51,59,0,5,426,1928,0.0,29.28,29.92,9.1,30,11.2,2007-07-11 00:00:002,0.08
2007-07-12,1,80,61,71,51,59,0,6,427,1928,0.0,29.22,29.93,9.4,29,11.1,2007-07-12 00:00:001,0.0
2007-07-12,2,80,60,70,51,60,0,5,427,1928,0.0,29.28,29.92,10.0,28,11.4,2007-07-12 00:00:002,0.0
2007-07-13,1,78,58,68,52,58,0,3,428,1927,0.0,29.26,29.98,1.4,1,5.3,2007-07-13 00:00:001,0.0
2007-07-13,2,74,59,67,53,59,0,2,428,1927,0.0,29.33,29.98,2.0,7,5.8,2007-07-13 00:00:002,0.0
2007-07-14,1,84,61,73,55,62,0,8,428,1927,0.0,29.08,29.79,8.3,26,13.2,2007-07-14 00:00:001,0.0
2007-07-14,2,85,62,74,55,62,0,9,428,1927,0.0,29.14,29.79,8.4,25,13.9,2007-07-14 00:00:002,0.0
2007-07-15,2,80,64,72,52,61,0,7,429,1926,0.0,29.25,29.88,1.2,9,6.5,2007-07-15 00:00:002,0.0
2007-07-15,1,82,60,71,53,61,0,6,429,1926,0.0,29.19,29.89,2.1,29,4.9,2007-07-15 00:00:001,0.0
2007-07-16,1,82,65,74,60,65,0,9,430,1925,0.39,29.25,29.96,4.4,24,5.2,2007-07-16 00:00:001,0.0
2007-07-16,2,82,66,74,60,65,0,9,430,1925,0.07,29.31,29.94,5.6,23,6.6,2007-07-16 00:00:002,0.0
2007-07-17,2,83,69,76,65,69,0,11,431,1925,0.11,29.24,29.89,6.3,23,7.4,2007-07-17 00:00:002,0.39
2007-07-17,1,83,68,76,66,69,0,11,431,1925,0.11,29.18,29.9,5.2,23,6.5,2007-07-17 00:00:001,0.07
2007-07-18,1,85,69,77,68,71,0,12,432,1924,1.55,29.11,29.84,9.1,24,10.1,2007-07-18 00:00:001,0.11
2007-07-18,2,85,69,77,69,71,0,12,432,1924,0.92,29.18,29.83,10.3,24,10.6,2007-07-18 00:00:002,0.11
2007-07-19,1,83,63,73,63,66,0,8,433,1923,0.16,29.21,29.9,7.0,1,11.9,2007-07-19 00:00:001,1.55
2007-07-19,2,82,63,73,62,66,0,8,433,1923,0.01,29.26,29.88,7.7,36,14.4,2007-07-19 00:00:002,0.92
2007-07-20,1,75,58,67,53,59,0,2,433,1923,0.0,29.44,30.14,8.6,3,9.1,2007-07-20 00:00:001,0.16
2007-07-20,2,74,62,68,52,59,0,3,433,1923,0.0,29.49,30.12,11.3,4,11.5,2007-07-20 00:00:002,0.01
2007-07-21,1,74,58,66,52,58,0,1,434,1922,0.0,29.51,30.22,6.5,3,7.4,2007-07-21 00:00:001,0.0
2007-07-21,2,75,58,67,52,59,0,2,434,1922,0.0,29.57,30.21,5.8,4,7.4,2007-07-21 00:00:002,0.0
2007-07-22,1,81,58,70,55,61,0,5,435,1921,0.0,29.49,30.21,1.7,16,3.3,2007-07-22 00:00:001,0.0
2007-07-22,2,81,61,71,54,61,0,6,435,1921,0.0,29.54,30.2,1.9,18,3.5,2007-07-22 00:00:002,0.0
2007-07-23,2,82,63,73,55,63,0,8,436,1920,0.0,29.42,30.09,2.9,12,3.9,2007-07-23 00:00:002,0.0
2007-07-23,1,83,60,72,55,63,0,7,436,1920,0.0,29.37,30.1,3.2,9,4.0,2007-07-23 00:00:001,0.0
2007-07-24,2,82,65,74,57,64,0,9,437,1919,0.0,29.38,30.03,1.1,21,4.9,2007-07-24 00:00:002,0.0
2007-07-24,1,82,65,74,58,64,0,9,437,1919,0.0,29.32,30.04,3.1,20,5.2,2007-07-24 00:00:001,0.0
2007-07-25,1,85,71,78,61,67,0,13,438,1918,0.0,29.29,30.0,5.8,25,6.6,2007-07-25 00:00:001,0.0
2007-07-25,2,83,70,77,60,66,0,12,438,1918,0.0,29.35,29.99,6.4,23,7.0,2007-07-25 00:00:002,0.0
2007-07-26,1,83,66,75,65,68,0,10,439,1918,0.19,29.19,29.92,7.2,22,9.4,2007-07-26 00:00:001,0.0
2007-07-26,2,84,64,74,65,68,0,9,439,1918,0.89,29.25,29.91,7.2,22,9.9,2007-07-26 00:00:002,0.0
2007-07-27,1,83,70,77,68,70,0,12,440,1917,0.17,29.11,29.82,3.0,3,7.9,2007-07-27 00:00:001,0.89
2007-07-27,2,83,70,77,67,70,0,12,440,1917,0.04,29.16,29.8,1.2,36,8.1,2007-07-27 00:00:002,0.19
2007-07-28,1,80,66,73,65,68,0,8,441,1916,0.0,29.23,29.93,10.0,3,10.2,2007-07-28 00:00:001,0.17
2007-07-28,2,80,70,75,65,68,0,10,441,1916,0.0,29.28,29.91,10.6,3,10.7,2007-07-28 00:00:002,0.04
2007-07-29,1,85,63,74,57,64,0,9,442,1915,0.0,29.28,29.99,4.8,5,5.7,2007-07-29 00:00:001,0.0
2007-07-29,2,85,67,76,56,64,0,11,442,1915,0.0,29.34,29.97,6.3,5,6.9,2007-07-29 00:00:002,0.0
2007-07-30,2,86,65,76,57,65,0,11,443,1914,0.0,29.39,30.01,3.1,6,4.6,2007-07-30 00:00:002,0.0
2007-07-30,1,89,62,76,55,64,0,11,443,1914,0.0,29.33,30.03,3.8,6,4.3,2007-07-30 00:00:001,0.0
2007-07-31,2,89,69,79,60,68,0,14,444,1913,0.0,29.39,30.02,4.0,7,5.0,2007-07-31 00:00:002,0.0
2007-07-31,1,91,68,80,61,68,0,15,444,1913,0.0,29.33,30.04,3.3,4,4.9,2007-07-31 00:00:001,0.0
2007-08-01,1,92,69,81,62,69,0,16,445,1911,0.0,29.29,30.0,3.5,9,4.1,2007-08-01 00:00:001,0.0
2007-08-01,2,91,69,80,63,70,0,15,445,1911,0.0,29.34,29.98,2.1,13,3.7,2007-08-01 00:00:002,0.0
2007-08-02,1,91,70,81,66,71,0,16,446,1910,0.0,29.26,29.97,5.5,26,5.9,2007-08-02 00:00:001,0.0
2007-08-02,2,91,73,82,66,72,0,17,446,1910,0.0,29.31,29.95,6.5,23,7.2,2007-08-02 00:00:002,0.0
2007-08-03,1,90,69,80,56,66,0,15,447,1909,0.0,29.31,30.02,2.7,3,5.7,2007-08-03 00:00:001,0.0
2007-08-03,2,88,73,81,58,67,0,16,447,1909,0.0,29.36,30.0,3.3,6,5.8,2007-08-03 00:00:002,0.0
2007-08-04,1,81,64,73,58,64,0,8,448,1908,0.03,29.31,30.03,5.7,8,6.1,2007-08-04 00:00:001,0.0
2007-08-04,2,81,68,75,58,65,0,10,448,1908,0.02,29.36,30.01,5.9,9,6.6,2007-08-04 00:00:002,0.0
2007-08-05,1,88,67,78,71,73,0,13,449,1907,1.43,29.08,29.81,5.4,21,9.6,2007-08-05 00:00:001,0.02
2007-08-05,2,88,68,78,71,72,0,13,449,1907,0.97,29.15,29.79,7.0,22,10.2,2007-08-05 00:00:002,0.03
2007-08-06,2,85,75,80,72,74,0,15,450,1906,0.05,29.17,29.81,2.6,10,4.6,2007-08-06 00:00:002,1.43
2007-08-06,1,88,74,81,72,74,0,16,450,1906,0.26,29.13,29.83,1.6,10,4.9,2007-08-06 00:00:001,0.97
2007-08-07,2,92,73,83,73,76,0,18,451,1904,0.06,29.11,29.74,6.3,24,8.8,2007-08-07 00:00:002,0.26
2007-08-07,1,91,72,82,73,76,0,17,451,1904,1.31,29.06,29.76,6.2,25,9.0,2007-08-07 00:00:001,0.05
2007-08-08,2,87,74,81,72,74,0,16,452,1903,0.09,29.18,29.81,1.5,4,6.4,2007-08-08 00:00:002,1.31
2007-08-08,1,87,73,80,71,73,0,15,452,1903,0.06,29.13,29.83,3.0,3,6.9,2007-08-08 00:00:001,0.06
2007-08-09,1,84,72,78,71,73,0,13,453,1902,0.05,29.13,29.84,2.5,29,6.0,2007-08-09 00:00:001,0.06
2007-08-09,2,85,73,79,71,73,0,14,453,1902,0.46,29.19,29.82,3.1,27,6.3,2007-08-09 00:00:002,0.09
2007-08-10,2,86,73,80,69,72,0,15,454,1900,0.0,29.32,29.94,3.0,6,5.4,2007-08-10 00:00:002,0.05
2007-08-10,1,86,70,78,68,72,0,13,454,1900,0.0,29.26,29.96,4.5,2,5.9,2007-08-10 00:00:001,0.46
2007-08-11,1,89,67,78,65,70,0,13,455,1859,0.0,29.31,30.02,3.2,19,3.9,2007-08-11 00:00:001,0.0
